;;SMITH;JOHNSON;WILLIAMS;BROWN;JONES;GARCIA;RODRIGUEZ;MILLER;MARTINEZ;DAVIS;HERNANDEZ;LOPEZ;GONZALEZ;WILSON;ANDERSON;THOMAS;TAYLOR;LEE;MOORE
35;Sarah;6791;5388;4525;4010;3970;3450;3242;3167;3115;3098;2858;2501;2417;2251;2168;2089;2075;2059;2007
36;Karen;6726;5336;4481;3972;3932;3417;3210;3137;3085;3068;2830;2477;2394;2229;2147;2069;2055;2039;1988
37;Jeffrey;6685;5303;4454;3948;3908;3396;3191;3118;3066;3050;2813;2462;2379;2216;2134;2057;2042;2027;1976
38;Donald;6618;5250;4410;3908;3869;3362;3159;3087;3036;3019;2785;2437;2355;2193;2113;2036;2022;2007;1956
39;Ashley;6505;5161;4334;3841;3803;3304;3105;3034;2984;2968;2737;2396;2315;2156;2077;2001;1987;1972;1923
40;Eric;6402;5079;4266;3781;3743;3252;3056;2986;2937;2921;2694;2358;2279;2122;2044;1970;1956;1941;1892
41;Jacob;6346;5035;4228;3748;3710;3224;3029;2960;2911;2895;2671;2337;2259;2103;2026;1953;1939;1924;1876
42;Nicholas;6333;5024;4219;3740;3702;3217;3023;2954;2905;2889;2665;2332;2254;2099;2022;1948;1935;1920;1872
43;Jonathan;6315;5010;4208;3729;3692;3208;3014;2946;2897;2881;2658;2326;2248;2093;2016;1943;1929;1915;1867
44;Ronald;6179;4902;4117;3649;3612;3139;2949;2882;2834;2819;2600;2276;2199;2048;1973;1901;1887;1873;1826
45;Michelle;6100;4839;4064;3602;3566;3099;2911;2845;2798;2783;2567;2246;2171;2022;1947;1877;1863;1849;1803
46;Kimberly;6049;4799;4030;3572;3536;3073;2887;2821;2775;2760;2546;2228;2153;2005;1931;1861;1848;1834;1788
47;Nancy;5944;4716;3961;3510;3475;3020;2837;2773;2727;2712;2502;2189;2116;1970;1898;1829;1816;1802;1757
48;Justin;5786;4590;3855;3417;3382;2939;2762;2699;2654;2639;2435;2131;2059;1918;1847;1780;1767;1754;1710
49;Sandra;5748;4560;3830;3394;3360;2920;2743;2681;2636;2622;2419;2117;2046;1905;1835;1768;1756;1743;1699
50;Amanda;5698;4521;3797;3365;3331;2895;2720;2658;2614;2600;2398;2099;2028;1889;1819;1753;1741;1728;1684
51;Brandon;5686;4511;3788;3358;3324;2888;2714;2652;2608;2594;2393;2094;2024;1884;1815;1749;1737;1724;1681
52;Stephanie;5639;4474;3757;3330;3297;2865;2692;2630;2587;2573;2373;2077;2007;1869;1800;1735;1723;1710;1667
53;Emily;5622;4460;3746;3320;3286;2856;2683;2622;2579;2565;2366;2070;2001;1863;1795;1730;1717;1704;1662
54;Melissa;5593;4437;3726;3303;3270;2841;2670;2609;2565;2552;2354;2060;1991;1854;1786;1721;1709;1696;1653
55;Gary;5507;4369;3669;3252;3219;2798;2629;2569;2526;2512;2318;2028;1960;1825;1758;1694;1682;1670;1628
56;Edward;5491;4356;3658;3243;3210;2789;2621;2561;2519;2505;2311;2022;1954;1820;1753;1689;1677;1665;1623
57;Stephen;5427;4306;3616;3205;3173;2757;2591;2531;2489;2476;2284;1999;1932;1799;1733;1670;1658;1645;1604
58;Scott;5315;4216;3541;3138;3107;2700;2537;2479;2438;2425;2237;1957;1891;1761;1697;1635;1623;1611;1571
59;George;5290;4197;3525;3124;3093;2687;2525;2468;2427;2414;2226;1948;1883;1753;1689;1628;1616;1604;1564
60;Donna;5283;4191;3520;3120;3088;2684;2522;2464;2423;2410;2223;1946;1880;1751;1687;1625;1614;1602;1562
61;Jose;5281;4189;3518;3118;3087;2683;2521;2463;2422;2409;2222;1945;1879;1750;1686;1625;1613;1601;1561
62;Rebecca;5098;4045;3397;3011;2980;2590;2434;2378;2339;2326;2145;1878;1815;1690;1628;1569;1557;1546;1507
63;Deborah;5078;4029;3383;2999;2969;2580;2424;2368;2329;2317;2137;1870;1807;1683;1621;1562;1551;1540;1501
64;Laura;4967;3940;3309;2933;2903;2523;2371;2317;2278;2266;2090;1829;1768;1646;1586;1528;1517;1506;1468
65;Cynthia;4962;3937;3306;2930;2901;2521;2369;2315;2276;2264;2088;1828;1766;1645;1584;1527;1516;1505;1467
66;Carol;4962;3936;3306;2930;2901;2520;2368;2314;2276;2263;2088;1827;1766;1644;1584;1526;1516;1504;1467
67;Amy;4878;3870;3250;2880;2851;2478;2328;2275;2237;2225;2053;1796;1736;1617;1557;1501;1490;1479;1442
68;Margaret;4787;3798;3190;2827;2799;2432;2285;2233;2196;2184;2015;1763;1704;1587;1528;1473;1462;1451;1415
69;Gregory;4756;3773;3169;2809;2781;2416;2270;2218;2182;2170;2002;1752;1693;1576;1519;1463;1453;1442;1406
70;Sharon;4754;3771;3167;2807;2779;2415;2269;2217;2181;2169;2001;1751;1692;1576;1518;1463;1452;1441;1405
71;Larry;4717;3742;3143;2786;2758;2396;2252;2200;2164;2152;1985;1737;1679;1564;1506;1451;1441;1430;1394
72;Angela;4690;3720;3125;2769;2742;2382;2238;2187;2151;2139;1973;1727;1669;1554;1497;1443;1433;1422;1386
73;Maria;4623;3667;3080;2730;2703;2348;2207;2156;2120;2109;1945;1703;1645;1532;1476;1422;1412;1402;1366
74;Alexander;4559;3616;3037;2692;2665;2316;2176;2126;2091;2080;1918;1679;1622;1511;1455;1403;1393;1382;1347
75;Benjamin;4547;3607;3030;2685;2658;2310;2170;2121;2086;2074;1913;1675;1618;1507;1452;1399;1389;1379;1344
76;Nicole;4473;3548;2980;2641;2615;2272;2135;2086;2051;2040;1882;1647;1592;1482;1428;1376;1366;1356;1322
77;Kathleen;4435;3519;2955;2619;2593;2253;2117;2069;2034;2023;1867;1634;1579;1470;1416;1365;1355;1345;1311
78;Patrick;4396;3488;2929;2596;2570;2233;2098;2050;2016;2006;1850;1619;1565;1457;1404;1353;1343;1333;1299
79;Samantha;4350;3451;2898;2569;2543;2210;2076;2029;1995;1985;1831;1602;1548;1442;1389;1338;1329;1319;1286
80;Tyler;4328;3434;2884;2556;2530;2199;2066;2019;1985;1975;1821;1594;1540;1434;1382;1332;1322;1312;1279
81;Samuel;4263;3382;2840;2517;2492;2165;2035;1988;1955;1945;1794;1570;1517;1413;1361;1311;1302;1292;1260
82;Betty;4185;3320;2789;2472;2447;2126;1998;1952;1920;1909;1761;1541;1490;1387;1336;1288;1279;1269;1237
83;Brenda;4151;3293;2766;2452;2427;2109;1982;1936;1904;1894;1747;1529;1478;1376;1325;1277;1268;1259;1227
84;Pamela;4099;3252;2731;2421;2397;2082;1957;1912;1880;1870;1725;1510;1459;1359;1309;1261;1252;1243;1212
85;Aaron;4084;3240;2721;2411;2387;2074;1949;1905;1873;1863;1718;1504;1453;1353;1304;1256;1247;1238;1207
86;Kelly;3966;3146;2642;2342;2318;2015;1893;1850;1819;1809;1669;1461;1411;1314;1266;1220;1211;1202;1172
87;Heather;3875;3074;2582;2288;2265;1968;1850;1807;1777;1768;1631;1427;1379;1284;1237;1192;1184;1175;1145
88;Rachel;3873;3072;2580;2287;2264;1967;1848;1806;1776;1767;1630;1426;1378;1284;1236;1191;1183;1174;1145
89;Adam;3848;3053;2564;2272;2249;1955;1837;1795;1765;1755;1619;1417;1369;1275;1229;1184;1175;1167;1137
90;Christine;3840;3046;2559;2268;2245;1951;1833;1791;1761;1752;1616;1414;1367;1273;1226;1181;1173;1164;1135
91;Zachary;3831;3039;2552;2262;2239;1946;1828;1787;1757;1748;1612;1411;1363;1270;1223;1179;1170;1161;1132
92;Debra;3818;3029;2544;2255;2232;1940;1823;1781;1751;1742;1607;1406;1359;1266;1219;1175;1166;1158;1129
93;Katherine;3745;2971;2495;2212;2190;1903;1788;1747;1718;1709;1576;1379;1333;1241;1196;1152;1144;1136;1107
94;Dennis;3704;2938;2468;2187;2165;1882;1768;1728;1699;1690;1559;1364;1318;1228;1183;1140;1131;1123;1095
95;Nathan;3681;2920;2452;2174;2152;1870;1757;1717;1688;1679;1549;1356;1310;1220;1175;1132;1124;1116;1088
96;Christina;3629;2879;2418;2143;2121;1843;1732;1692;1664;1655;1527;1336;1291;1203;1158;1116;1108;1100;1073
97;Julie;3586;2845;2389;2118;2096;1822;1712;1673;1645;1636;1509;1321;1276;1189;1145;1103;1095;1087;1060
98;Jordan;3581;2841;2386;2114;2093;1819;1709;1670;1642;1634;1507;1319;1274;1187;1143;1102;1094;1086;1058
99;Kyle;3574;2836;2381;2111;2090;1816;1706;1667;1639;1631;1504;1316;1272;1185;1141;1100;1092;1084;1057
100;Anna;3541;2809;2359;2091;2070;1799;1690;1652;1624;1615;1490;1304;1260;1174;1130;1089;1082;1074;1047
